id,amr,antibiotic,pTested,nTested,pSusceptible,nSusceptible
Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1,Levofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1::Piperacillin,Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1,Piperacillin,100%,1,100%,1
Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1,Tetracycline,100%,1,100%,1
Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1::Tobramycin,Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1,Tobramycin,100%,1,100%,1
Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterobacter cloacae::Sputum::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,1,100%,1
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Amoxicillin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Amoxicillin,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Ampicillin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Ampicillin,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Cefazolin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Cefazolin,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Cefepime,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Cefepime,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Cefotaxime,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Cefotaxime,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Cefotetan,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Cefotetan,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Ceftazidime,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Ceftazidime,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Ceftriaxone,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Cefuroxime,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Cefuroxime,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Cephalothin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Cephalothin,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Ciprofloxacin,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Gentamicin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Gentamicin,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Imipenem (Cilastatin),100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Levofloxacin,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Nitrofurantoin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Nitrofurantoin,100%,3,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Piperacillin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Piperacillin,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Tetracycline,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Tobramycin,Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Tobramycin,100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterobacter cloacae::Urine::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,3,100%,3
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Amoxicillin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Amoxicillin,100%,6,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Ampicillin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Ampicillin,100%,6,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Cefazolin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Cefazolin,100%,6,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Cefepime,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Cefepime,100%,6,83%,5
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Cefotaxime,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Cefotaxime,100%,6,83%,5
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Cefotetan,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Cefotetan,100%,6,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Ceftazidime,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Ceftazidime,100%,6,83%,5
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Ceftriaxone,100%,6,83%,5
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Cefuroxime,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Cefuroxime,100%,6,0%,0
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Ciprofloxacin,100%,6,100%,6
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Gentamicin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Gentamicin,100%,6,100%,6
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Imipenem (Cilastatin),100%,6,100%,6
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Levofloxacin,100%,6,100%,6
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Piperacillin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Piperacillin,100%,6,83%,5
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Tetracycline,100%,6,100%,6
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Tobramycin,Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Tobramycin,100%,6,100%,6
Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterobacter cloacae::Wound::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,6,100%,6
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Ampicillin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Ampicillin,100%,2,100%,2
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Cefazolin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Cefazolin,100%,2,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Ciprofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Clindamycin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Clindamycin,100%,2,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Erythromycin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Erythromycin,100%,2,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Levofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Linezolid,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Linezolid,100%,2,100%,2
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Penicillin (Unspecified),Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Penicillin (Unspecified),100%,2,50%,1
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Rifampin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Rifampin,100%,2,100%,2
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Tetracycline,100%,2,50%,1
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,2,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1::Vancomycin,Phoenix Indian Medical Center::Enterococcus faecalis::Skin::2019::1,Vancomycin,100%,2,100%,2
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Ampicillin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Ampicillin,100%,17,100%,17
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Cefazolin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Cefazolin,100%,17,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Ciprofloxacin,100%,17,71%,12
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Clindamycin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Clindamycin,100%,17,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Levofloxacin,100%,17,82%,14
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Linezolid,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Linezolid,100%,17,100%,17
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Nitrofurantoin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Nitrofurantoin,100%,17,100%,17
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Penicillin (Unspecified),Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Penicillin (Unspecified),100%,17,100%,17
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Rifampin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Rifampin,100%,17,47%,8
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Tetracycline,100%,17,18%,3
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,17,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1::Vancomycin,Phoenix Indian Medical Center::Enterococcus faecalis::Urine::2019::1,Vancomycin,100%,17,100%,17
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Ampicillin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Ampicillin,100%,4,100%,4
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Cefazolin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Cefazolin,100%,4,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Ciprofloxacin,100%,4,100%,4
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Clindamycin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Clindamycin,100%,4,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Erythromycin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Erythromycin,100%,4,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Levofloxacin,100%,4,100%,4
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Linezolid,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Linezolid,100%,4,100%,4
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Penicillin (Unspecified),Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Penicillin (Unspecified),100%,4,100%,4
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Rifampin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Rifampin,100%,4,75%,3
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Tetracycline,100%,4,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,4,0%,0
Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1::Vancomycin,Phoenix Indian Medical Center::Enterococcus faecalis::Wound::2019::1,Vancomycin,100%,4,100%,4
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Ampicillin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Ampicillin,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Cefazolin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Cefazolin,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Ciprofloxacin,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Clindamycin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Clindamycin,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Levofloxacin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Levofloxacin,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Linezolid,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Linezolid,100%,1,100%,1
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Nitrofurantoin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Nitrofurantoin,100%,1,100%,1
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Penicillin (Unspecified),Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Penicillin (Unspecified),100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Rifampin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Rifampin,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Tetracycline,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Tetracycline,100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,1,0%,0
Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1::Vancomycin,Phoenix Indian Medical Center::Enterococcus faecium::Urine::2019::1,Vancomycin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Amoxicillin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Amoxicillin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Ampicillin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Ampicillin,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Cefazolin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Cefazolin,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Cefepime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Cefepime,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Cefotaxime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Cefotaxime,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Cefotetan,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Cefotetan,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Ceftazidime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Ceftazidime,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Ceftriaxone,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Cefuroxime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Cefuroxime,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Ciprofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Gentamicin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Gentamicin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Imipenem (Cilastatin),100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Levofloxacin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Levofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Piperacillin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Piperacillin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Tetracycline,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Tetracycline,100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Tobramycin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Tobramycin,100%,1,100%,1
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Escherichia coli (ESBL)::Blood::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,1,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Amoxicillin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Amoxicillin,100%,60,83%,50
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Ampicillin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Ampicillin,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Cefazolin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Cefazolin,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Cefepime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Cefepime,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Cefotaxime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Cefotaxime,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Cefotetan,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Cefotetan,100%,60,100%,60
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Ceftazidime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Ceftazidime,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Ceftriaxone,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Cefuroxime,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Cefuroxime,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Cephalothin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Cephalothin,100%,60,0%,0
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Ciprofloxacin,100%,60,60%,36
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Gentamicin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Gentamicin,100%,60,82%,49
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Imipenem (Cilastatin),100%,60,100%,60
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Levofloxacin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Levofloxacin,100%,60,60%,36
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Nitrofurantoin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Nitrofurantoin,100%,60,83%,50
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Piperacillin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Piperacillin,100%,60,95%,57
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Tetracycline,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Tetracycline,100%,60,35%,21
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Tobramycin,Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Tobramycin,100%,60,77%,46
Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Escherichia coli (ESBL)::Urine::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,60,37%,22
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Amoxicillin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Amoxicillin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Ampicillin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Ampicillin,100%,2,50%,1
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Cefazolin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Cefazolin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Cefepime,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Cefepime,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Cefotaxime,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Cefotaxime,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Cefotetan,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Cefotetan,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Ceftazidime,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Ceftazidime,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Ceftriaxone,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Cefuroxime,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Cefuroxime,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Ciprofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Gentamicin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Gentamicin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Imipenem (Cilastatin),100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Levofloxacin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Levofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Piperacillin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Piperacillin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Tetracycline,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Tetracycline,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Tobramycin,Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Tobramycin,100%,2,100%,2
Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Escherichia coli::Anus::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,2,50%,1
Phoenix Indian Medical Center::Escherichia coli::Blood::2019::1::Amoxicillin,Phoenix Indian Medical Center::Escherichia coli::Blood::2019::1,Amoxicillin,100%,4,100%,4
