id,type,capacity,certification,mpc,address,zip,phone,fax,lat,lon
Mingus Manor Assisted Living Home,Assisted Living::Directed Home,8,,Cottonwood,25 West Fir Street,86326,(928)649-1351,(928)649-1383,34.718466,-112.030103
Mingus Terrace Assisted Living Home,Assisted Living::Directed Home,10,T,Cottonwood,1236 South Pioneer Drive,86326,(928)649-0275,(928)649-0276,34.717188,-112.033791
Miramonte Alh,Assisted Living::Directed Home,5,,Glendale,18120 North 53Rd Lane,85308,(623)262-5388,(602)504-0247,33.649521,-112.17484
Miriam's Adult Care Home,Assisted Living::Directed Home,5,T,Glendale,6426 West Del Mar Lane,85306,(623)776-3399,(623)776-3399,33.623324,-112.197424
Mom And Dad Place LLC,Assisted Living::Directed Home,10,,Tucson,9980 North Shannon Road,85742,(520)612-7190,(520)612-7241,32.389182,-111.029809
Monte Manor Assisted Living,Assisted Living::Directed Home,6,T,Mesa,2721 West Monte Avenue,85202,(480)659-8721,(480)361-9725,33.367827,-111.891844
Moon Valley Assisted Living LLC,Assisted Living::Directed Home,10,,Phoenix,14221 North Piping Rock Court,85023,(602)938-5534,(602)404-8437,33.615506,-112.084334
Moonlight Manor Assisted Living Home,Assisted Living::Directed Home,10,,Surprise,15129 West Paradise Lane,85374,(623)546-9481,(623)975-9032,33.631095,-112.386205
Morning Glory Adult Care Home,Assisted Living::Directed Home,6,,Mesa,3065 South Canfield Circle,85212,(480)526-6077,(480)765-2197,33.360115,-111.606677
Morning Glory Assisted Living,Assisted Living::Directed Home,10,,Peoria,8525 West Irma Lane,85382,(623)362-3687,(623)374-6204,33.671322,-112.246615
Mountain Ranch Home Care,Assisted Living::Directed Home,5,,Phoenix,29606 North 21St Drive,85085,(602)635-7193,(602)635-7193,33.753438,-112.104968
Mountain View Adult Care Home,Assisted Living::Directed Home,6,,Phoenix,2651 East Cinnabar Avenue,85028,(602)765-1769,(602)535-3840,33.576692,-112.024758
Mountain Vista Manor Corp,Assisted Living::Directed Home,10,T,Mesa,1246 North 86Th Place,85207,(480)656-8851,(480)668-3612,33.438616,-111.644075
Mountainside Assisted Living Home LLC,Assisted Living::Directed Home,10,,Fountain Hills,16529 East Glenbrook Blvd,85268,(480)816-9970,(480)816-9569,33.624068,-111.723313
My Family Assisted Living Home LLC,Assisted Living::Directed Home,10,,Tucson,3708 West Gailey Drive,85741,(520)572-5674,(520)744-0326,32.340709,-111.04477
My New Home,Assisted Living::Directed Home,10,,Tempe,2719 South Kenneth Place,85282,(480)557-0923,(480)557-0923,33.400195,-111.917381
My Parents Paradise Assisted Living Home LLC,Assisted Living::Directed Home,10,,Peoria,6827 West Rowel Road,85383,(623)748-9181,(623)748-9182,33.724253,-112.20782
My Parents Paradise LLC,Assisted Living::Directed Home,10,,Surprise,14549 West St Moritz Lane,85379,(623)388-4425,(623)249-7274,33.617649,-112.373596
Ndg Adult Care Home LLC,Assisted Living::Directed Home,5,,Tempe,1106 West 9Th Street,85281,(480)894-2902,(480)894-2902,33.421259,-111.954681
New Horizons Adult Care Home #2,Assisted Living::Directed Home,10,,Prescott Valley,7020 East Longlook Drive,86314,(928)775-2087,(928)775-2087,34.600644,-112.341749
New Horizons Adult Care Home #3,Assisted Living::Directed Home,10,,Chino Valley,1045 Chuckwagon Lane,86323,(928)636-0651,(928)636-0651,34.7301,-112.463394
New Paradise LLC,Assisted Living::Directed Home,10,T,Scottsdale,5554 East Campo-Bello Drive,85254,(602)380-4110,(928)212-8597,33.644362,-111.960819
New Reflections Adult Care Home,Assisted Living::Directed Home,10,,Glendale,6412 West Villa Theresa,85308,(602)466-3587,(602)626-5320,33.65298,-112.199067
North Scottsdale Gardens Assisted Living Home,Assisted Living::Directed Home,10,,Scottsdale,10250 East Becker Lane,85260,(480)657-9385,(480)219-8763,33.583295,-111.860261
North Star Adult Care Home,Assisted Living::Directed Home,10,T,Prescott Valley,6530 East Stratford Drive,86314,(928)775-2409,(928)775-2409,34.624568,-112.349639
North Star Care Home,Assisted Living::Directed Home,10,,Phoenix,26723 North 19Th Drive,85085,(623)869-0020,(623)869-0020,33.727422,-112.100239
North Valley Care Home,Assisted Living::Directed Home,10,,Phoenix,15821 North 20Th Street,85022,(602)971-6479,(602)795-9674,33.629865,-112.039289
Northwest Assisted Living I,Assisted Living::Directed Home,9,,Tucson,2001 West Cassim Lane,85704,(520)297-6354,(520)797-8093,32.331636,-111.009648
Nuestra Casa Care Home Inc.,Assisted Living::Directed Home,6,,Tucson,4124 West Orleans Street,85741,(520)572-8784,(520)407-6143,32.357886,-111.053584
Oak Tree Care Home,Assisted Living::Directed Home,10,,Tucson,4110 East Spring Street Unit 1,85712,(520)319-8681,(520)325-9596,32.251512,-110.905001
Oasis Care Homes,Assisted Living::Directed Home,5,T,Phoenix,22015 North 34Th Avenue,85027,(480)204-0258,(623)581-5279,33.685884,-112.131452
Oasis Care Homes LLC,Assisted Living::Directed Home,5,T,Phoenix,21437 North 33Rd Lane,85027,(623)582-0537,(623)587-9564,33.681777,-112.131745
Ocotillo House,Assisted Living::Directed Home,10,,Tucson,5232 East 18Th Street,85711,(520)777-7248,(520)777-7296,32.211846,-110.88106
Olive Branch Home Care LLC,Assisted Living::Directed Home,6,,Sierra Vista,4916 Santa Ana Avenue,85650,(520)378-9516,(520)224-5156,31.480042,-110.248312
Orange Garden Assisted Living,Assisted Living::Directed Home,10,,Sun City,10858 West Carlota Lane,85373,(623)544-4398,(623)547-5015,33.685072,-112.29326
Orchid Park Care Home,Assisted Living::Directed Home,10,,Phoenix,8628 North 7Th Avenue,85021,(602)678-2281,(602)331-3817,33.562982,-112.082706
Orchid Residential Care,Assisted Living::Directed Home,10,,Peoria,9580 West Orchid Lane,85345,(623)440-2428,(623)234-1713,33.560458,-112.26565
Ordinary Lifestyles,Assisted Living::Directed Home,10,T,Payson,401 North Laredo Lane,85541,(928)595-2068,(888)673-2528,34.245317,-111.330067
Ortiz Sunnyside Assisted Living LLC,Assisted Living::Directed Home,8,T,Surprise,14785 West Windrose Drive,85379,(623)544-9215,(623)544-9213,33.599764,-112.378151
Our Parents Home Care,Assisted Living::Directed Home,9,,Phoenix,3313 West Topeka Drive,85027,(602)329-0109,(623)322-0830,33.659915,-112.131393
Our Parents Home LLC,Assisted Living::Directed Home,5,,Scottsdale,6414 East Juniper Avenue,85254,(480)309-3392,(480)991-3775,33.639974,-111.942009
Our Parents House,Assisted Living::Directed Home,8,,Scottsdale,2524 North 80Th Place,85257,(480)414-7502,(480)865-2700,33.475614,-111.907738
Page Springs Living,Assisted Living::Directed Home,10,,Cornville,995 South Page Springs Road,86325,(928)649-0588,(928)649-0510,34.721227,-111.903453
Palm House,Assisted Living::Directed Home,10,,Phoenix,13604 North 20Th Street,85022,(602)368-4464,(602)368-8312,33.610038,-112.039486
Palm House I Plc,Assisted Living::Directed Home,10,T,Phoenix,15414 North 29Th Avenue,85053,(602)863-3053,(602)368-2420,33.626198,-112.12049
Paradise Assisted Living,Assisted Living::Directed Home,9,,Surprise,16520 North 170Th Lane,85388,(623)546-6048,(623)546-6048,33.633578,-112.426229
Paradise Assisted Living Home,Assisted Living::Directed Home,5,,Glendale,6108 West Paradise Lane,85306,(602)938-5217,(602)419-2110,33.632476,-112.191167
Paradise Cove,Assisted Living::Directed Home,9,,Yuma,1526 South 8Th Avenue,85364,(928)580-3272,(928)782-5654,32.699833,-114.629675
Paradise Valley Adult Care Home,Assisted Living::Directed Home,10,,Phoenix,4302 East Janice Way,85032,(602)410-2569,(602)374-7961,33.624326,-111.988303
Paradise Valley Senior Retreat,Assisted Living::Directed Home,10,,Paradise Valley,4801 East Beryl Avenue,85253,(480)699-4780,(480)383-6589,33.57985,-111.977515
Parkview Assisted Living LLC,Assisted Living::Directed Home,8,,Surprise,18208 North 145Th Avenue,85374,(602)515-8442,(623)322-1257,33.648869,-112.373113
Parkwood Adult Care Home,Assisted Living::Directed Home,10,T,Glendale,4519 West Corrine Drive,85304,(602)978-2316,(602)687-7084,33.600158,-112.156392
Patrick's Care Home,Assisted Living::Directed Home,5,T,Phoenix,27413 North 23Rd Drive,85085,(623)582-0113,(623)516-0847,33.733593,-112.108549
Peaceful And Comfort Assisted Living Home,Assisted Living::Directed Home,10,,Mesa,6532 East Hannibal,85205,(480)830-7281,(480)830-7281,33.443947,-111.689898
Peachtree Assisted Living Home,Assisted Living::Directed Home,8,T,Surprise,15550 West Cameron Drive,85379,(623)234-8655,(623)234-8655,33.588475,-112.395144
Peoria Adult Care Home,Assisted Living::Directed Home,10,T,Peoria,9012 West Sandra Terrace,85382,(623)876-1432,(623)876-1432,33.632208,-112.250493
Peoria Assisted Living And Health Services LLC,Assisted Living::Directed Home,9,,Peoria,15921 North 91St Drive,85382,(623)251-4356,(623)505-2550,33.628949,-112.251951
Pepper Tree Care Home,Assisted Living::Directed Home,10,,Tucson,4110 East Spring Street Unit 3,85712,(520)867-6861,(520)867-6850,32.251512,-110.905001
Petradi Green Diamond Group Home,Assisted Living::Directed Home,5,,Phoenix,2210 East Maddock Road,85086,(623)465-2782,(623)465-2782,33.821071,-112.034451
Petrisor Assisted Living,Assisted Living::Directed Home,5,,Mesa,11121 East Dragoon Avenue,85208,(480)284-7682,(480)284-7682,33.402542,-111.591305
Picture Rocks Adult Care Home,Assisted Living::Directed Home,5,,Tucson,12390 West Manville Road,85743,(520)682-0607,(267)645-6898,32.291756,-111.232414
Pine Meadows Ranch,Assisted Living::Directed Home,10,,Flagstaff,7885 Easy Street,86004,(928)522-8622,(928)226-6925,35.253825,-111.539344
Pines,Assisted Living::Directed Home,8,,Flagstaff,6005 East Abineau Canyon Drive,86004,(928)635-6750,(928)526-1876,35.197243,-111.57473
Pineview Adult Care Home,Assisted Living::Directed Home,10,,Prescott,1115 Dixon Drive,86303,(928)778-3555,(928)778-1301,34.528339,-112.489454
Pinnacle Peak Assisted Living,Assisted Living::Directed Home,10,,Scottsdale,7878 East Vista Bonita Drive,85255,(480)419-9760,(480)272-6678,33.698002,-111.910842
Plc-Paradise Valley,Assisted Living::Directed Home,10,,Paradise Valley,6630 East Lincoln Drive,85253,(602)909-8442,(602)878-4115,33.531416,-111.937108
Pleasant Living - Leisure World,Assisted Living::Directed Home,10,,Mesa,1221 South Arroya Circle,85206,(480)389-0693,(480)807-1102,33.393158,-111.712173
Pleasant Living - Vista,Assisted Living::Directed Home,10,,Mesa,2065 North Vista Del Sol,85207,(480)357-2565,(480)907-1120,33.453149,-111.662132
Pleasant Stay Care Home,Assisted Living::Directed Home,10,T,Phoenix,3221 East Pershing Avenue,85032,(602)493-5182,(602)992-7076,33.606315,-112.01275
Pleasant Valley Care Home,Assisted Living::Directed Home,10,,Prescott,2955 Pleasant Valley Dr,86305,(928)778-3128,(928)778-1691,34.59383,-112.472373
Plum Tree Care Home,Assisted Living::Directed Home,10,,Tucson,4014 East Pima Street,85712,(520)867-6945,(520)325-9596,32.24332,-110.907142
Precious Heart Assisted Living LLC,Assisted Living::Directed Home,6,T,Mesa,5447 East Flower Avenue,85206,(480)284-6314,(480)284-6314,33.39502,-111.71301
Precious Love Adult Assisted Living Facility LLC,Assisted Living::Directed Home,5,,Chandler,1769 North Ellis Street,85224,(480)777-5844,(480)897-6043,33.331625,-111.885663
Premier Assisted Living LLC,Assisted Living::Directed Home,5,,Phoenix,1544 West Las Palmaritas Drive,85021,(602)626-5363,(602)954-0639,33.557722,-112.09328
Progress Assisted Living,Assisted Living::Directed Home,5,,Glendale,5184 West St John Road,85308,(602)283-4432,(602)388-4832,33.646806,-112.17147
Rainbow Adult Care Home,Assisted Living::Directed Home,4,,Tucson,2202 North Rainbow Vista Drive,85712,(520)745-5554,(520)495-5306,32.248292,-110.868384
Raintree Assisted Living LLC,Assisted Living::Directed Home,8,,Scottsdale,9043 East Hillery Drive,85260,(480)245-6099,(888)213-8186,33.621918,-111.885532
Reanna's Assisted Living Home,Assisted Living::Directed Home,10,,Glendale,8433 North 59Th Avenue,85302,(623)879-9111,(623)879-9009,33.559617,-112.186059
Red Mountain Assisted Living,Assisted Living::Directed Home,10,,Gilbert,1804 South Southwind Circle,85295,(480)726-6788,(480)726-6788,33.317411,-111.766943
Red Mountain Reflections Assisted Living Inc.,Assisted Living::Directed Home,10,,Mesa,2232 North 77Th Place,85207,(480)380-8880,(480)380-8880,33.45469,-111.664145
Red Mountain Senior Home #1 Inc,Assisted Living::Directed Home,10,T,Mesa,8411 East Culver Street,85207,(480)380-0380,(480)354-9943,33.462135,-111.649522
Regency Adult Home Care LLC,Assisted Living::Directed Home,10,T,Phoenix,901 West Port Royale Lane,85023,(602)400-2777,(602)375-1670,33.622285,-112.085342
Rejoice Assisted Living Home #2,Assisted Living::Directed Home,10,,Glendale,6035 North 79Th Drive,85303,(623)872-1198,(623)872-2295,33.5239,-112.229921
Rejoice Assisted Living Home Incorporated,Assisted Living::Directed Home,10,T,Glendale,7336 North 79Th Lane,85303,(623)930-8124,(623)872-2295,33.543055,-112.230836
Renata's Home For The Elderly,Assisted Living::Directed Home,8,T,Queen Creek,2268 West Peggy Drive,85242,(480)304-2922,(480)699-7096,33.171301,-111.590961
Renata's Home For The Elderly 2 Inc,Assisted Living::Directed Home,10,,San Tan Valley,31392 North Sunflower Way,85143,(480)275-8321,(602)275-8321,33.164515,-111.56481
Richmond Hills Assisted Living Facility LLC,Assisted Living::Directed Home,8,T,Phoenix,1141 East Sandra Terrace,85022,(602)993-2288,(602)285-0161,33.63429,-112.056177
Ridgecrest I,Assisted Living::Directed Home,10,,Tucson,685 West Roller Coaster Road,85704,(520)293-3404,(520)887-2729,32.309386,-110.980974
Right Choice Adult Care Home,Assisted Living::Directed Home,5,,Glendale,6204 W Julie Drive,85308,(623)376-2898,(623)376-2899,33.655818,-112.193586
Rising Rainbow Home Care,Assisted Living::Directed Home,10,,Glendale,7407 West Monte Lindo,85310,(623)376-2740,(623)376-0586,33.695582,-112.21829
Rivendell Care Home,Assisted Living::Directed Home,5,,Phoenix,1901 West Joan De Arc Avenue,85029,(602)993-1596,(602)993-1440,33.607325,-112.100617
Rody's Adult Care Home,Assisted Living::Directed Home,5,T,Phoenix,3807 East Betty Elyse Lane,85032,(602)246-2343,(602)264-9589,33.627551,-112.000091
Rolling Hills Manor,Assisted Living::Directed Home,8,,Prescott,1949 Boardwalk Avenue,86301,(928)717-4487,(928)777-8611,34.577369,-112.439658
Ronald Home Care,Assisted Living::Directed Home,10,T,Phoenix,1910 East Ronald Road,85022,(602)765-0315,(602)765-4978,33.599359,-112.040741
Rosa De Saron Care Home,Assisted Living::Directed Home,10,,Tucson,4102 East Linden Street,85712,(520)325-7813,(520)325-7813,32.245032,-110.90466
Rosa's Chante Assisted Living Home,Assisted Living::Directed Home,9,,Tucson,2631 South Blackmoon Drive,85730,(520)751-1998,(520)751-3767,32.191307,-110.783784
Rosa's Little House Assisted Living Home,Assisted Living::Directed Home,5,,Tucson,3141 West Painted Hills Ranch Court,85745,(520)906-7822,(520)325-7813,32.247358,-111.034186
Rosarian Assisted Living,Assisted Living::Directed Home,5,,Glendale,6309 West Mescal Street,85304,(623)326-8850,(623)486-2631,33.585979,-112.194956
Rose Garden Adult Care Home,Assisted Living::Directed Home,5,,Phoenix,3141 West Robin Lane,85027,(602)570-6747,(623)869-8440,33.689518,-112.127964
Rose Lane Adult Care Home,Assisted Living::Directed Home,5,,Prescott,3305 Rose Lane,86305,(928)771-8417,(928)771-8417,34.604146,-112.462076
Rose Of Sharon Family Home,Assisted Living::Directed Home,10,,Tucson,3410 West Ruthann Road,85745,(520)743-8777,(520)743-8777,32.263768,-111.038896
Rose Villa Assisted Living,Assisted Living::Directed Home,5,,Phoenix,2335 West Maya Way,85085,(623)466-7742,(623)466-7742,33.728727,-112.109767
Rosedale Garden Venture LLC,Assisted Living::Directed Home,5,,Phoenix,320 West El Camino Drive,85021,(602)354-3203,(602)687-7443,33.557255,-112.078817
Roseview Assisted Living LLC,Assisted Living::Directed Home,8,,Surprise,14616 North Gil Balcome,85379,(602)653-4880,(623)792-7691,33.616675,-112.343043
Roseview Gardens Care Home,Assisted Living::Directed Home,7,,Surprise,13342 West Watson Lane,85379,(602)741-6555,(623)249-3778,33.613437,-112.347383
Rosewood Care Home,Assisted Living::Directed Home,5,T,Phoenix,3707 West Rosewood Avenue,85029,(602)938-6631,(602)298-9832,33.600656,-112.138469
Royal Caribbean Assisted Living Home LLC,Assisted Living::Directed Home,7,,Surprise,15844 West Caribbean Lane,85379,(602)434-0241,(623)242-8965,33.623702,-112.401236
Royal Oak Assisted Living Home,Assisted Living::Directed Home,10,,Surprise,25661 North Desert Mesa Drive,85387,(623)792-7185,(623)792-7064,33.71729,-112.416213
Royal Palm Assisted Living,Assisted Living::Directed Home,10,,Scottsdale,12202 North 68Th Place,85254,(480)948-1787,(480)483-4659,33.596992,-111.933709
Royalty Assisted Living,Assisted Living::Directed Home,5,,Chandler,733 East Gemini Place,85249,(480)471-8886,(480)436-6900,33.219789,-111.830093
Saguaro Ranch Luxury Assisted Living LLC,Assisted Living::Directed Home,10,,Tucson,12301 North Camino Del Plata,85755,(520)219-2720,(520)505-5661,32.430172,-111.021115
Sakuta's Loving Heart Assisted Living Home,Assisted Living::Directed Home,10,,Tucson,6445 North Desert Foothills Drive,85743,(520)572-1057,(520)579-6439,32.324129,-111.073003
Sakuta's Young At Heart Assisted Living Home,Assisted Living::Directed Home,10,,Tucson,6521 North Silverbell Road,85743,(520)744-7962,(520)744-8195,32.325004,-111.072202
San Judas Adult Care Home LLC,Assisted Living::Directed Home,10,,Sahuarita,17380 South Camino Cartagena,85629,(520)339-2118,(520)625-2060,31.934577,-110.988935
San Judas Group Home,Assisted Living::Directed Home,9,,Phoenix,7603 South 13Th Place,85042,(602)643-5932,(602)281-6974,33.377507,-112.053977
San Nicolas Assisted Living Home Nw Inc.,Assisted Living::Directed Home,10,,Tucson,1362 West San Nicolas Drive,85704,(520)742-4581,(520)531-9897,32.326889,-110.994241
San Paulo Village Assisted Living Home,Assisted Living::Directed Home,8,,Tucson,6012 East 25Th Street,85711,(520)747-3851,(520)514-9676,32.203608,-110.863777
Sanctuary I Assisted Living,Assisted Living::Directed Home,5,,Glendale,3870 West Alameda Road,85310,(623)434-2185,(480)304-3153,33.706202,-112.140995
Santo Nino Adult Care Home LLC,Assisted Living::Directed Home,10,,Tucson,2290 South Quail Hollow Drive,85710,(520)751-9109,(520)751-0455,32.195362,-110.811388
Saragosa Mc Assisted Living Facility,Assisted Living::Directed Home,5,T,Chandler,1691 West Saragosa Street,85224,(480)214-3226,(480)659-1774,33.294544,-111.87118
Scarlett Canyon Assisted Living Home Care,Assisted Living::Directed Home,10,,Phoenix,20652 North 16Th Way,85024,(623)516-9762,(623)582-2339,33.674519,-112.049315
Scottsdale Foothills Assisted Living,Assisted Living::Directed Home,10,,Scottsdale,10474 East Corrine Drive,85259,(951)565-0172,(480)219-2203,33.603585,-111.855228
Scottsdale North Inc A L,Assisted Living::Directed Home,10,,Scottsdale,9883 East Cortez Street,85260,(480)682-8974,(480)459-5589,33.59195,-111.866722
Searles Care Home,Assisted Living::Directed Home,9,,Tucson,11109 East Tanque Verde Road,85749,(520)749-3772,(520)749-1472,32.251116,-110.755711
Serenade Assisted Living LLC,Assisted Living::Directed Home,10,,Gilbert,25403 South 154Th Street,85298,(480)792-6801,(480)895-9768,33.217036,-111.750908
Serenity Care Home,Assisted Living::Directed Home,6,,Surprise,13365 West Banff Lane,85379,(623)326-4270,(623)236-3178,33.617459,-112.348203
Serenity Of North Scottsdale,Assisted Living::Directed Home,10,,Scottsdale,29750 North 77Th Place,85266,(480)585-9757,(480)585-9583,33.755025,-111.914212
Seven Haven LLC,Assisted Living::Directed Home,8,T,Mesa,4833 East Mc Lellan Road,85205,(480)325-8227,(480)218-4649,33.444296,-111.725637
Shady Lane Living Inc.,Assisted Living::Directed Home,10,,Tucson,11240 East Shady Lane,85749,(520)749-4846,(520)749-1319,32.244506,-110.752899
Shady Pines Care Home,Assisted Living::Directed Home,10,,Gilbert,3178 East Vaughn Avenue,85234,(480)306-6568,(480)659-1648,33.356716,-111.722502
Sheridan Garden Assisted Living,Assisted Living::Directed Home,7,T,Glendale,7419 North 82Nd Lane,85303,(623)934-9399,(623)934-1764,33.543388,-112.236852
Sheridan Garden Assisted Living Home,Assisted Living::Directed Home,5,T,Phoenix,8937 West Sheridan,85037,(623)907-8858,(623)907-9240,33.473703,-112.25196
Sierra Adult Care LLC,Assisted Living::Directed Home,10,,Tucson,4933 South Cassia Way,85706,(520)573-0365,(520)573-0365,32.162831,-110.936323
Sierra Madre Adult Care Home Inc.,Assisted Living::Directed Home,10,,Tucson,15525 North Lago Del Oro Pkwy,85739,(520)825-9172,(520)825-4482,32.487599,-110.896407
Sierra Vista Assisted Living,Assisted Living::Directed Home,10,,Laveen,3331 West Ian Drive,85339,(602)628-3642,(602)237-8130,33.372511,-112.131552
Sierra's Assisted Living,Assisted Living::Directed Home,10,T,Scottsdale,13330 North 88Th Place,85260,(602)622-1667,(480)614-1382,33.607214,-111.89035
Silver Bells,Assisted Living::Directed Home,5,,Scottsdale,5541 East Angela Drive,85254,(602)293-3488,(602)391-2715,33.645612,-111.960753
Silver Bells Adult Care Home,Assisted Living::Directed Home,10,,Scottsdale,5248 East Marconi Avenue,85254,(602)404-0349,(602)391-2715,33.631063,-111.96717
Silver Moon Assisted Living Home,Assisted Living::Directed Home,10,,Tucson,3690 West Arrowwood Place,85741,(520)531-1366,(520)413-3464,32.342593,-111.044077
Silverbell Manor Assisted Living Home LLC,Assisted Living::Directed Home,10,,Tucson,6493 North Silverbell Road,85743,(520)579-3710,(520)579-3223,32.324629,-111.07126
Silvergate Assisted Living Home,Assisted Living::Directed Home,5,T,Chandler,2144 West Manor Street,85224,(480)786-3412,(480)899-4027,33.327472,-111.880049
Simancas Assisted Living Home,Assisted Living::Directed Home,5,,Tucson,550 South Country Club Road,85716,(520)207-0442,(520)207-1883,32.215317,-110.926764
Sinai Assisted Living Home,Assisted Living::Directed Home,5,T,Phoenix,3802 North 35Th Street,85018,(602)279-2679,(602)279-2679,33.491663,-112.006128
Skyline Estate Assisted Living LLC,Assisted Living::Directed Home,10,,Tucson,1730 East Skyline Drive,85718,(520)360-5410,(520)842-2005,32.334494,-110.946414
Sonoran Adult Care LLC,Assisted Living::Directed Home,5,,Chandler,4791 South Vista Place,85248,(602)705-1456,(480)584-3723,33.236229,-111.864148
Sonoran Hills Assisted Living,Assisted Living::Directed Home,10,,Phoenix,31704 North 16Th Avenue,85085,(623)322-0745,(623)322-0746,33.772006,-112.095746
Spectrum Assisted Living,Assisted Living::Directed Home,10,,Glendale,5330 West Tonto Road,85308,(602)708-0250,(623)242-6133,33.66446,-112.174215
Spring Days Adult Care Home LLC,Assisted Living::Directed Home,10,,Tucson,6710 North Leonardo Da Vinci,85704,(520)797-3588,(520)797-3159,32.328388,-110.990826
Spring Valley,Assisted Living::Directed Home,5,T,Glendale,5941 West Audrey Lane,85308,(602)298-5551,(602)298-5551,33.653466,-112.187008
St Therese Adult Care Home,Assisted Living::Directed Home,7,,Peoria,7842 West Brown Street,85345,(623)792-5166,(623)487-3533,33.577021,-112.227639
St. Anthony's Adult Care Home LLC,Assisted Living::Directed Home,10,,Tucson,2302 South Quail Hollow Drive,85710,(520)906-0277,(520)300-8387,32.195163,-110.811245
St. Charles Place,Assisted Living::Directed Home,8,,Phoenix,6818 South 16Th Place,85042,(602)276-0084,(602)595-9960,33.38412,-112.04679
St. Michael's Manor,Assisted Living::Directed Home,7,T,Peoria,8449 West Shaw Butte Drive,85345,(623)486-5987,(623)328-5530,33.594751,-112.240881
Starfish Care Homes LLC,Assisted Living::Directed Home,10,,Tucson,6611 East River Hills Place,85750,(520)721-6321,(520)298-9846,32.275454,-110.851205
Sterling Loving Home Care LLC,Assisted Living::Directed Home,5,,Surprise,18426 West Marconi Avenue,85388,(623)214-1560,(623)214-1560,33.628735,-112.45685
Sugar's Assisted Living Home Inc.,Assisted Living::Directed Home,9,,Green Valley,17802 South Placita Octubre,85614,(520)399-1534,(520)648-0805,31.926249,-110.984131
Summa Care - Gilbert,Assisted Living::Directed Home,10,,Gilbert,137 North Date Palm Drive,85234,(602)703-3706,(480)654-4466,33.352904,-111.752324
Summa Care Tempe,Assisted Living::Directed Home,10,,Tempe,6518 South Jentilly Lane,85283,(480)588-6870,(480)588-6870,33.362223,-111.927215
Summer Breeze Assisted Living Home,Assisted Living::Directed Home,10,T,Phoenix,5924 West Hedgehog Place,85083,(623)362-3392,(623)374-4073,33.734791,-112.187893
Summer Star Care Home,Assisted Living::Directed Home,5,T,Peoria,9208 West Cortez Street,85345,(623)476-5614,(623)476-5619,33.590506,-112.257168
Summerfield At Jacinto Alh,Assisted Living::Directed Home,6,T,Mesa,3342 East Jacinto Avenue,85204,(480)329-4262,(480)383-6108,33.379978,-111.759427
Summerfield At Jentilly Assisted Living Home,Assisted Living::Directed Home,10,,Tempe,8150 South Jentilly Lane,85284,(480)703-4231,(480)626-8457,33.342657,-111.927667
Sun Creek At Surprise Farms LLC,Assisted Living::Directed Home,9,T,Surprise,16437 North 169Th Drive,85388,(623)537-7835,(623)433-8195,33.633447,-112.42247
Sun Garden Care Home,Assisted Living::Directed Home,10,,Glendale,7168 West Lone Cactus Drive,85308,(623)825-4694,(623)825-4694,33.679448,-112.21316
Sun Quest Manor,Assisted Living::Directed Home,10,,Paradise Valley,10419 North 57Th Street,85253,(480)609-4040,(480)922-0166,33.581713,-111.958248
Sun Valley Heights Assisted Living,Assisted Living::Directed Home,5,,Scottsdale,17244 North 57Th Street,85254,(602)788-6908,(602)697-8987,33.643918,-111.95758
Sun Valley Manor Assisted Living Home,Assisted Living::Directed Home,5,,Scottsdale,17245 North 56Th Way,85254,(602)339-1000,(602)687-8987,33.643561,-111.95824
Sun View Estates Home Care,Assisted Living::Directed Home,5,,Phoenix,701 West Solano Drive,85013,(602)717-8296,(602)903-2785,33.520686,-112.083452
Sun View Estates Home Carei,Assisted Living::Directed Home,7,,Surprise,17673 West Acapulco Lane,85388,(623)698-7574,(623)466-0071,33.622723,-112.438892
Sunbeam Oasis,Assisted Living::Directed Home,5,,Chandler,1692 East Tulsa Street,85225,(480)718-5756,(480)855-1033,33.312536,-111.811609
Sunlight Adult Care Home,Assisted Living::Directed Home,5,T,Glendale,6513 West Caribbean Lane,85306,(623)399-9863,(623)792-5614,33.624386,-112.198621
Sunnyhill Adult Care Home,Assisted Living::Directed Home,10,T,Scottsdale,6228 East Pershing Ave,85254,(480)483-2129,(480)951-5229,33.606849,-111.946137
Sunnyhill Adult Care Home Inc.,Assisted Living::Directed Home,10,,Scottsdale,7311 East Sunnyside Drive,85260,(480)275-2237,(480)275-5602,33.594711,-111.923592
Sunnyside Assisted Living Home LLC,Assisted Living::Directed Home,10,,Phoenix,2615 East Vista Drive,85032,(480)286-1570,(602)626-8257,33.621014,-112.025511
Sunnyside Scottsdale LLC,Assisted Living::Directed Home,5,T,Scottsdale,5249 East Tierra Buena Lane,85254,(602)451-6936,(602)368-2749,33.629142,-111.967223
Sunrise Adult Care Home #2,Assisted Living::Directed Home,5,,Glendale,6338 West Port Royale Lane,85306,(623)487-0488,(623)487-0488,33.621886,-112.196174
Sunrise Adult Care Home #3,Assisted Living::Directed Home,10,,Peoria,8216 West Villa Lindo Drive,85383,(623)512-5944,(623)249-4954,33.705526,-112.235961
Sunrise Assisted Living Facility,Assisted Living::Directed Home,10,,Fountain Hills,14654 North Del Cambre Avenue,85268,(480)264-4399,(480)245-4515,33.620207,-111.711302
Sunrise Assisted Living Home,Assisted Living::Directed Home,7,T,Surprise,16038 West Evans Drive,85379,(623)328-7738,(623)328-7738,33.616528,-112.405575
